ENSP	VNG-ORF
YB10_HALN1	VNG1110C
YB11_HALN1	VNG1111G
Q9HQK9	VNG1112H
Q9HQK8	VNG1114G
YB15_HALN1	VNG1115H
Q9HQK5	VNG1117C
DPHB_HALN1	VNG1118G
Q9HQK4	VNG1119H
Q9HQK3	VNG1120H
Q9HQK2	VNG1121G
Q9HQK1	VNG1123G
Q9HQK0	VNG1125G
Q9HQJ9	VNG1128G
Q9HQJ8	VNG1130H
Q9HQJ7	VNG1131G
RS13_HALN1	VNG1132G
RS4_HALN1	VNG1133G
RS11_HALN1	VNG1134G
RPOD_HALN1	VNG1136G
R18E_HALN1	VNG1137G
Q9HQJ3	VNG1138G
RS9_HALN1	VNG1139G
RPON_HALN1	VNG1140G
RPOK_HALN1	VNG1141G
ENO_HALN1	VNG1142G
RS2_HALN1	VNG1143G
Q9HQI7	VNG1144H
Q9HQI6	VNG1145G
Q9HQI5	VNG1148G
Q9HQI4	VNG1149C
Q9HQI3	VNG1150G
Q9HQI2	VNG1151H
Q9HQI1	VNG1153G
Q9HQI0	VNG1154H
Q9HQH9	VNG1156G
RL7A_HALN1	VNG1157G
RS28_HALN1	VNG1158G
R24E_HALN1	VNG1159G
NDK_HALN1	VNG1160G
Q9HQH4	VNG1162H
Q9HQH3	VNG1163G
Q9HQH2	VNG1164C
KSGA_HALN1	VNG1165G
Q9HQH0	VNG1168C
Q9HQG9	VNG1169C
RL21_HALN1	VNG1170G
Q9HQG7	VNG1172G
EF1B_HALN1	VNG1173G
Q9HQG4	VNG1174G
Q9HQG5	VNG1175G
FLPA_HALN1	VNG1176G
Q9HQG2	VNG1178H
Q9HQG1	VNG1179C
MSRA_HALN1	VNG1180G
Q9HQF9	VNG1181G
Q9HQF8	VNG1182H
Q9HQF6	VNG1183H
Q9HQF7	VNG1184G
Q9HQF5	VNG1185G
Q9HQF4	VNG1187G
Q9HQF3	VNG1188G
Q9HQF2	VNG1189H
SOD1_HALN1	VNG1190G
Q9HQF0	VNG1191G
